time siteid longitude latitude elevation aod_int_1640nm aod_int_1240nm aod_int_870nm aod_int_670nm aod_int_550nm aod_int_470nm aod_int_440nm
"2021-07-30 07:33:31" Barcelona 2.11206 41.38925 125.0 0.094921 0.11396193193051195 0.168019 0.2302535836109008 0.29906544242625727 0.36148632203709674 0.38902
"2021-07-30 08:32:42" Barcelona 2.11206 41.38925 125.0 0.090272 0.10718589888764142 0.159472 0.22381757327015717 0.29472091503788034 0.3634368917724516 0.394291
"2021-07-30 08:48:57" Barcelona 2.11206 41.38925 125.0 0.090369 0.10958142254881306 0.162942 0.22599624456444858 0.29481143990473874 0.3619413537546118 0.392435
"2021-07-30 08:51:00" Barcelona 2.11206 41.38925 125.0 0.08820399999999999 0.1058685837353316 0.156553 0.2176698829661838 0.28726388799634717 0.35394518259824115 0.383774
"2021-07-30 03:04:17" Dalanzadgad 104.419167 43.577222 1470.0 0.019961000000000003 0.02963647579863805 0.040407 0.05205450099413422 0.07257983525695302 0.09378526655367192 0.10340799999999999
"2021-07-30 03:09:17" Dalanzadgad 104.419167 43.577222 1470.0 0.017622 0.02685399546099003 0.037097000000000005 0.04825784294206869 0.06774615648854275 0.08764135109657421 0.096772
"2021-07-30 03:24:17" Dalanzadgad 104.419167 43.577222 1470.0 0.015593 0.02499576633140539 0.035317 0.047418599754002505 0.0677704978514134 0.08822746750347628 0.09740900000000001
"2021-07-30 03:29:17" Dalanzadgad 104.419167 43.577222 1470.0 0.016045 0.02499860704455884 0.035695 0.047278367384957345 0.0667598913956003 0.0869188756124571 0.096001
"2021-07-30 03:34:17" Dalanzadgad 104.419167 43.577222 1470.0 0.017124 0.02669543851691271 0.037486 0.04996843705348404 0.07090224745900893 0.0918999565422918 0.10144500000000001
"2021-07-30 03:39:17" Dalanzadgad 104.419167 43.577222 1470.0 0.017667999999999996 0.026918940752552478 0.036735000000000004 0.04886662481009132 0.06851871884365392 0.0882168938386223 0.097151
"2021-07-30 03:44:17" Dalanzadgad 104.419167 43.577222 1470.0 0.017026 0.0274286116811107 0.036633 0.04932932565940259 0.0689152150322634 0.088993914898961 0.098219
"2021-07-30 03:49:17" Dalanzadgad 104.419167 43.577222 1470.0 0.016222 0.02583927160373926 0.035717 0.047532807461670774 0.06711561376302815 0.08702361826341534 0.096123
"2021-07-30 03:54:17" Dalanzadgad 104.419167 43.577222 1470.0 0.014733000000000001 0.023433780603912532 0.034270999999999996 0.04571222701833949 0.06487461600869093 0.08489291475436142 0.09410700000000001
"2021-07-30 03:59:17" Dalanzadgad 104.419167 43.577222 1470.0 0.017585 0.027367769411673716 0.038482 0.050973380716999674 0.07151685032678434 0.09266267105516875 0.10249200000000001
"2021-07-30 04:04:17" Dalanzadgad 104.419167 43.577222 1470.0 0.019286 0.029180555908432514 0.039325 0.051198946813801625 0.07123746199997356 0.0908955224528142 0.099843
"2021-07-30 04:09:17" Dalanzadgad 104.419167 43.577222 1470.0 0.019989 0.03009224578104585 0.039117 0.05076093181310851 0.07058129475589081 0.08985232057252161 0.098629
"2021-07-30 04:24:17" Dalanzadgad 104.419167 43.577222 1470.0 0.013094999999999997 0.022928724355923833 0.032510000000000004 0.04349874230759692 0.062256241925717354 0.08146120156603387 0.090406
"2021-07-30 04:29:17" Dalanzadgad 104.419167 43.577222 1470.0 0.014331999999999998 0.024304235029715758 0.033949 0.04537229790058972 0.06434980550511878 0.08442913635989312 0.093695
"2021-07-30 04:34:17" Dalanzadgad 104.419167 43.577222 1470.0 0.013396000000000002 0.024192643897359756 0.034293000000000004 0.04670593708225096 0.06671758999626971 0.08706158884692956 0.096446
"2021-07-30 04:39:17" Dalanzadgad 104.419167 43.577222 1470.0 0.012251000000000001 0.022193755192122442 0.031764999999999995 0.04305876528679023 0.06178730268220578 0.08100133492256863 0.08996
"2021-07-30 04:44:17" Dalanzadgad 104.419167 43.577222 1470.0 0.014433000000000001 0.024468161129407917 0.034612000000000004 0.04689316989092895 0.06704565711540435 0.08708268660120669 0.096304
"2021-07-30 04:49:17" Dalanzadgad 104.419167 43.577222 1470.0 0.016066000000000004 0.02552665127604734 0.035344 0.04695116176908258 0.06547832075798783 0.08511398821115701 0.0941
"2021-07-30 04:54:17" Dalanzadgad 104.419167 43.577222 1470.0 0.015628 0.02583967372125545 0.034953 0.04638351881621701 0.06522606338388545 0.08411489799299822 0.092949
"2021-07-30 04:59:17" Dalanzadgad 104.419167 43.577222 1470.0 0.01263 0.02232680701356648 0.032402 0.04336516445646991 0.06207029480413065 0.0814033948998382 0.09049
"2021-07-30 05:04:17" Dalanzadgad 104.419167 43.577222 1470.0 0.014422999999999998 0.024123370309837393 0.034076999999999996 0.04596133993445772 0.06541822688916814 0.08476148196632581 0.09379
"2021-07-30 05:09:17" Dalanzadgad 104.419167 43.577222 1470.0 0.017157 0.02717861389979487 0.038124 0.0513974848429105 0.07184182515838894 0.09299384561556512 0.10295499999999999
"2021-07-30 05:24:17" Dalanzadgad 104.419167 43.577222 1470.0 0.016884 0.027190067008518233 0.036725 0.048328483530848294 0.06726313922390974 0.08532388135561488 0.093622
"2021-07-30 05:29:17" Dalanzadgad 104.419167 43.577222 1470.0 0.016735 0.0262313047995019 0.036061 0.04729859096854952 0.06596111742064197 0.08421807307281884 0.09269900000000002
"2021-07-30 05:34:17" Dalanzadgad 104.419167 43.577222 1470.0 0.014968000000000002 0.0244713818672265 0.035119 0.04705875615941614 0.06580634739125882 0.08505014162235218 0.094113
